prefix_1,prefix_2,prefix_3,prefix_4,prefix_5,prefix_6,prefix_7,prefix_8,prefix_9,prefix_10,prefix_11,prefix_12,prefix_13,prefix_14,prefix_15,prefix_16,prefix_17,prefix_18,prefix_19,prefix_20,prefix_21,prefix_22,prefix_23,prefix_24,prefix_25,prefix_26,prefix_27,prefix_28,prefix_29,prefix_30,desired_cfs,idx,test_id,dataset,black_box
acreateapplication,asubmitted,wcompleteapplication,aconcept,wcompleteapplication,wassesspotentialfraud,wshortenedcompletion,wcompleteapplication,aconcept,ocancelled,aconcept,osentmailandonline,ocreated,aaccepted,wcallafteroffers,acomplete,avalidating,adenied,wcompleteapplication,wcallafteroffers,aincomplete,wvalidateapplication,oaccepted,0,oaccepted,orefused,apending,osentonlineonly,acomplete,acancelled,5.0,20,0,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,wcompleteapplication,aconcept,wcompleteapplication,wassesspotentialfraud,ocreated,ocreated,aaccepted,whandleleads,aconcept,aaccepted,wcompleteapplication,aaccepted,wcallafteroffers,wcallafteroffers,ocreateoffer,adenied,wcallincompletefiles,wcallafteroffers,aincomplete,oreturned,oaccepted,oreturned,oaccepted,orefused,apending,osentonlineonly,oaccepted,acancelled,5.0,20,1,BPIC17_O_ACCEPTED,xgboost
acreateapplication,wcompleteapplication,wcompleteapplication,aconcept,aaccepted,aconcept,ocreated,ocreateoffer,aaccepted,wcompleteapplication,ocreateoffer,wshortenedcompletion,wshortenedcompletion,aconcept,wcallafteroffers,orefused,ocreateoffer,orefused,wcompleteapplication,wcallafteroffers,aincomplete,avalidating,apending,0,avalidating,avalidating,apending,orefused,acomplete,acancelled,5.0,20,2,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,wcompleteapplication,aconcept,wassesspotentialfraud,aconcept,aconcept,ocreated,aconcept,ocancelled,aconcept,osentonlineonly,wcompleteapplication,orefused,acancelled,wcallafteroffers,avalidating,wassesspotentialfraud,wcompleteapplication,ocancelled,aincomplete,wvalidateapplication,apending,0,ocancelled,oaccepted,apending,osentmailandonline,acomplete,acancelled,5.0,20,3,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,wcompleteapplication,whandleleads,wassesspotentialfraud,aaccepted,wcompleteapplication,osentmailandonline,ocreated,ocreateoffer,ocancelled,ocreated,ocreated,acomplete,acancelled,orefused,oreturned,wassesspotentialfraud,oreturned,aincomplete,aincomplete,wassesspotentialfraud,ocreateoffer,osentmailandonline,wcallafteroffers,0,adenied,0,oaccepted,acancelled,5.0,20,4,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,whandleleads,whandleleads,wcompleteapplication,aconcept,wassesspotentialfraud,osentmailandonline,osentonlineonly,ocreateoffer,ocreated,aaccepted,aconcept,ocreateoffer,osentonlineonly,orefused,wcallafteroffers,wcallafteroffers,wcallafteroffers,oaccepted,avalidating,ocreateoffer,wcompleteapplication,osentmailandonline,0,ocancelled,oreturned,ocreateoffer,apending,ocancelled,10.0,20,5,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,wcompleteapplication,whandleleads,aaccepted,aconcept,wcompleteapplication,ocreateoffer,ocreated,wcallafteroffers,osentmailandonline,wcompleteapplication,ocreated,wassesspotentialfraud,wcallafteroffers,avalidating,avalidating,wcallafteroffers,osentonlineonly,wcallafteroffers,avalidating,aconcept,oreturned,acomplete,0,acancelled,ocreateoffer,apending,wcompleteapplication,0,10.0,20,6,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,wcompleteapplication,whandleleads,aaccepted,aconcept,wcompleteapplication,aaccepted,aaccepted,ocreated,ocreateoffer,ocreateoffer,wcompleteapplication,wcompleteapplication,ocreated,orefused,avalidating,ocancelled,0,acomplete,avalidating,wvalidateapplication,wcompleteapplication,ocreated,wcallafteroffers,0,avalidating,apending,adenied,0,10.0,20,7,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,wcompleteapplication,whandleleads,aaccepted,aconcept,wcompleteapplication,aaccepted,aaccepted,ocreated,wassesspotentialfraud,wcompleteapplication,ocreated,wassesspotentialfraud,wcallafteroffers,aaccepted,wcallafteroffers,ocancelled,0,wvalidateapplication,avalidating,aconcept,wcompleteapplication,ocreated,wcallafteroffers,0,avalidating,apending,wcallafteroffers,0,10.0,20,8,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,whandleleads,whandleleads,wcompleteapplication,aaccepted,wassesspotentialfraud,osentonlineonly,osentonlineonly,ocreateoffer,osentonlineonly,osentmailandonline,aaccepted,acomplete,wshortenedcompletion,acomplete,wcallafteroffers,wcallafteroffers,acomplete,wcallafteroffers,avalidating,ocreateoffer,acomplete,osentmailandonline,wcallafteroffers,ocancelled,avalidating,apending,wcallafteroffers,ocreateoffer,10.0,20,9,BPIC17_O_ACCEPTED,xgboost
