prefix_1,prefix_2,prefix_3,prefix_4,prefix_5,prefix_6,prefix_7,prefix_8,prefix_9,desired_cfs,idx,test_id,dataset,black_box
register,highmedicalhistory,contacthospital,highinsurancecheck,rejectclaim,createquestionnaire,preparenotificationcontent,sendnotificationbypost,sendquestionnaire,5.0,20,0,synthetic_data,xgboost
register,highmedicalhistory,contacthospital,highinsurancecheck,rejectclaim,createquestionnaire,preparenotificationcontent,sendnotificationbypost,sendnotificationbyphone,5.0,20,1,synthetic_data,xgboost
register,highmedicalhistory,contacthospital,highinsurancecheck,rejectclaim,createquestionnaire,sendquestionnaire,preparenotificationcontent,sendnotificationbyphone,5.0,20,2,synthetic_data,xgboost
register,highmedicalhistory,contacthospital,highinsurancecheck,rejectclaim,createquestionnaire,preparenotificationcontent,sendnotificationbyphone,sendnotificationbypost,5.0,20,3,synthetic_data,xgboost
register,highmedicalhistory,highinsurancecheck,highmedicalhistory,rejectclaim,rejectclaim,preparenotificationcontent,sendnotificationbypost,sendnotificationbyemail,5.0,20,4,synthetic_data,xgboost
register,highmedicalhistory,contacthospital,highinsurancecheck,rejectclaim,createquestionnaire,preparenotificationcontent,sendnotificationbypost,sendnotificationbyemail,10.0,20,5,synthetic_data,xgboost
register,highmedicalhistory,contacthospital,highinsurancecheck,rejectclaim,createquestionnaire,preparenotificationcontent,sendnotificationbypost,sendnotificationbyphone,10.0,20,6,synthetic_data,xgboost
register,highmedicalhistory,contacthospital,highinsurancecheck,rejectclaim,createquestionnaire,preparenotificationcontent,sendnotificationbypost,sendquestionnaire,10.0,20,7,synthetic_data,xgboost
register,highmedicalhistory,contacthospital,highinsurancecheck,rejectclaim,createquestionnaire,preparenotificationcontent,sendnotificationbyphone,sendnotificationbyemail,10.0,20,8,synthetic_data,xgboost
register,highmedicalhistory,contacthospital,highinsurancecheck,rejectclaim,createquestionnaire,sendquestionnaire,preparenotificationcontent,sendnotificationbyphone,10.0,20,9,synthetic_data,xgboost
register,highmedicalhistory,contacthospital,highinsurancecheck,rejectclaim,createquestionnaire,preparenotificationcontent,sendnotificationbypost,sendnotificationbyemail,15.0,20,10,synthetic_data,xgboost
register,highmedicalhistory,contacthospital,highinsurancecheck,rejectclaim,createquestionnaire,preparenotificationcontent,sendnotificationbyphone,sendnotificationbyemail,15.0,20,11,synthetic_data,xgboost
register,highmedicalhistory,contacthospital,highinsurancecheck,rejectclaim,createquestionnaire,preparenotificationcontent,sendnotificationbypost,sendquestionnaire,15.0,20,12,synthetic_data,xgboost
register,highmedicalhistory,contacthospital,highinsurancecheck,rejectclaim,createquestionnaire,preparenotificationcontent,sendnotificationbypost,sendnotificationbyphone,15.0,20,13,synthetic_data,xgboost
register,highinsurancecheck,createquestionnaire,highmedicalhistory,rejectclaim,createquestionnaire,preparenotificationcontent,sendnotificationbypost,sendnotificationbyemail,15.0,20,14,synthetic_data,xgboost
register,highmedicalhistory,contacthospital,highinsurancecheck,rejectclaim,createquestionnaire,preparenotificationcontent,sendnotificationbypost,sendnotificationbyemail,20.0,20,15,synthetic_data,xgboost
register,highmedicalhistory,contacthospital,highinsurancecheck,rejectclaim,createquestionnaire,preparenotificationcontent,sendnotificationbyphone,sendnotificationbyemail,20.0,20,16,synthetic_data,xgboost
register,highmedicalhistory,contacthospital,highinsurancecheck,rejectclaim,createquestionnaire,preparenotificationcontent,sendnotificationbypost,sendnotificationbyphone,20.0,20,17,synthetic_data,xgboost
register,highmedicalhistory,contacthospital,highinsurancecheck,rejectclaim,createquestionnaire,preparenotificationcontent,sendnotificationbypost,sendquestionnaire,20.0,20,18,synthetic_data,xgboost
register,contacthospital,highinsurancecheck,highinsurancecheck,rejectclaim,acceptclaim,receivequestionnaireresponse,sendnotificationbypost,sendnotificationbyemail,20.0,20,19,synthetic_data,xgboost
register,highmedicalhistory,highinsurancecheck,highmedicalhistory,rejectclaim,rejectclaim,preparenotificationcontent,sendnotificationbypost,sendnotificationbyemail,5.0,21,0,synthetic_data,xgboost
register,highmedicalhistory,contacthospital,highinsurancecheck,rejectclaim,createquestionnaire,preparenotificationcontent,sendnotificationbypost,sendquestionnaire,5.0,21,1,synthetic_data,xgboost
register,highmedicalhistory,contacthospital,highinsurancecheck,rejectclaim,createquestionnaire,preparenotificationcontent,sendnotificationbypost,sendnotificationbyphone,5.0,21,2,synthetic_data,xgboost
register,createquestionnaire,contacthospital,contacthospital,highinsurancecheck,rejectclaim,preparenotificationcontent,sendnotificationbypost,sendnotificationbyemail,5.0,21,3,synthetic_data,xgboost
register,lowmedicalhistory,contacthospital,contacthospital,highinsurancecheck,rejectclaim,preparenotificationcontent,sendnotificationbypost,sendnotificationbypost,5.0,21,4,synthetic_data,xgboost
register,highmedicalhistory,contacthospital,createquestionnaire,highinsurancecheck,rejectclaim,preparenotificationcontent,sendnotificationbypost,sendquestionnaire,10.0,21,5,synthetic_data,xgboost
