prefix_1,prefix_2,prefix_3,prefix_4,prefix_5,prefix_6,prefix_7,desired_cfs,idx,test_id,dataset,black_box
register,createquestionnaire,highmedicalhistory,highinsurancecheck,rejectclaim,createquestionnaire,preparenotificationcontent,5.0,20,0,synthetic_data,xgboost
register,contacthospital,highmedicalhistory,highinsurancecheck,lowinsurancecheck,preparenotificationcontent,sendnotificationbyphone,5.0,20,1,synthetic_data,xgboost
register,highmedicalhistory,contacthospital,highinsurancecheck,rejectclaim,createquestionnaire,preparenotificationcontent,5.0,20,2,synthetic_data,xgboost
register,contacthospital,createquestionnaire,highinsurancecheck,acceptclaim,preparenotificationcontent,sendnotificationbyphone,5.0,20,3,synthetic_data,xgboost
register,contacthospital,createquestionnaire,highinsurancecheck,lowinsurancecheck,createquestionnaire,preparenotificationcontent,5.0,20,4,synthetic_data,xgboost
register,contacthospital,highmedicalhistory,highinsurancecheck,rejectclaim,preparenotificationcontent,sendnotificationbyphone,10.0,20,5,synthetic_data,xgboost
register,contacthospital,highmedicalhistory,highinsurancecheck,rejectclaim,createquestionnaire,preparenotificationcontent,10.0,20,6,synthetic_data,xgboost
register,lowmedicalhistory,lowinsurancecheck,highinsurancecheck,createquestionnaire,preparenotificationcontent,sendnotificationbypost,10.0,20,7,synthetic_data,xgboost
register,highinsurancecheck,lowinsurancecheck,highinsurancecheck,rejectclaim,preparenotificationcontent,sendnotificationbyphone,10.0,20,8,synthetic_data,xgboost
register,contacthospital,lowinsurancecheck,highinsurancecheck,createquestionnaire,preparenotificationcontent,sendnotificationbypost,10.0,20,9,synthetic_data,xgboost
register,lowmedicalhistory,highmedicalhistory,highinsurancecheck,rejectclaim,preparenotificationcontent,sendnotificationbyphone,15.0,20,10,synthetic_data,xgboost
register,contacthospital,highmedicalhistory,highinsurancecheck,rejectclaim,createquestionnaire,preparenotificationcontent,15.0,20,11,synthetic_data,xgboost
register,contacthospital,highmedicalhistory,highinsurancecheck,rejectclaim,preparenotificationcontent,sendnotificationbyphone,15.0,20,12,synthetic_data,xgboost
register,lowmedicalhistory,highmedicalhistory,createquestionnaire,rejectclaim,preparenotificationcontent,sendnotificationbyphone,15.0,20,13,synthetic_data,xgboost
register,contacthospital,highmedicalhistory,highinsurancecheck,highmedicalhistory,preparenotificationcontent,sendnotificationbyphone,15.0,20,14,synthetic_data,xgboost
register,contacthospital,highmedicalhistory,highinsurancecheck,rejectclaim,createquestionnaire,preparenotificationcontent,20.0,20,15,synthetic_data,xgboost
register,contacthospital,lowinsurancecheck,highinsurancecheck,rejectclaim,createquestionnaire,preparenotificationcontent,20.0,20,16,synthetic_data,xgboost
register,contacthospital,highmedicalhistory,acceptclaim,highinsurancecheck,preparenotificationcontent,sendnotificationbyphone,20.0,20,17,synthetic_data,xgboost
register,contacthospital,highinsurancecheck,highinsurancecheck,rejectclaim,createquestionnaire,preparenotificationcontent,20.0,20,18,synthetic_data,xgboost
register,contacthospital,highmedicalhistory,highinsurancecheck,highinsurancecheck,preparenotificationcontent,sendnotificationbyphone,20.0,20,19,synthetic_data,xgboost
register,highmedicalhistory,contacthospital,createquestionnaire,highinsurancecheck,rejectclaim,preparenotificationcontent,5.0,21,0,synthetic_data,xgboost
register,lowmedicalhistory,lowinsurancecheck,highmedicalhistory,rejectclaim,rejectclaim,preparenotificationcontent,5.0,21,1,synthetic_data,xgboost
register,highmedicalhistory,createquestionnaire,contacthospital,highinsurancecheck,rejectclaim,preparenotificationcontent,5.0,21,2,synthetic_data,xgboost
register,highmedicalhistory,contacthospital,highinsurancecheck,rejectclaim,preparenotificationcontent,sendnotificationbyphone,5.0,21,3,synthetic_data,xgboost
register,contacthospital,contacthospital,highinsurancecheck,acceptclaim,preparenotificationcontent,sendnotificationbyphone,5.0,21,4,synthetic_data,xgboost
register,highmedicalhistory,contacthospital,createquestionnaire,highinsurancecheck,rejectclaim,preparenotificationcontent,10.0,21,5,synthetic_data,xgboost
register,lowmedicalhistory,highmedicalhistory,createquestionnaire,highinsurancecheck,rejectclaim,preparenotificationcontent,10.0,21,6,synthetic_data,xgboost
register,highmedicalhistory,createquestionnaire,contacthospital,highinsurancecheck,rejectclaim,preparenotificationcontent,10.0,21,7,synthetic_data,xgboost
register,contacthospital,highmedicalhistory,createquestionnaire,highinsurancecheck,preparenotificationcontent,sendnotificationbyphone,10.0,21,8,synthetic_data,xgboost
register,highmedicalhistory,contacthospital,highinsurancecheck,rejectclaim,preparenotificationcontent,sendnotificationbyphone,10.0,21,9,synthetic_data,xgboost
register,highmedicalhistory,contacthospital,createquestionnaire,highinsurancecheck,rejectclaim,preparenotificationcontent,15.0,21,10,synthetic_data,xgboost
register,contacthospital,contacthospital,acceptclaim,highinsurancecheck,preparenotificationcontent,sendnotificationbyphone,15.0,21,11,synthetic_data,xgboost
register,lowmedicalhistory,highinsurancecheck,acceptclaim,createquestionnaire,rejectclaim,preparenotificationcontent,15.0,21,12,synthetic_data,xgboost
register,lowmedicalhistory,contacthospital,acceptclaim,highinsurancecheck,preparenotificationcontent,sendnotificationbypost,15.0,21,13,synthetic_data,xgboost
register,highmedicalhistory,highinsurancecheck,createquestionnaire,createquestionnaire,rejectclaim,preparenotificationcontent,15.0,21,14,synthetic_data,xgboost
register,highmedicalhistory,contacthospital,createquestionnaire,highinsurancecheck,rejectclaim,preparenotificationcontent,20.0,21,15,synthetic_data,xgboost
register,lowmedicalhistory,highmedicalhistory,createquestionnaire,highinsurancecheck,rejectclaim,preparenotificationcontent,20.0,21,16,synthetic_data,xgboost
register,createquestionnaire,contacthospital,highmedicalhistory,highinsurancecheck,rejectclaim,preparenotificationcontent,20.0,21,17,synthetic_data,xgboost
register,createquestionnaire,lowinsurancecheck,highinsurancecheck,highinsurancecheck,rejectclaim,preparenotificationcontent,20.0,21,18,synthetic_data,xgboost
register,highinsurancecheck,contacthospital,createquestionnaire,highmedicalhistory,rejectclaim,preparenotificationcontent,20.0,21,19,synthetic_data,xgboost
register,contacthospital,highmedicalhistory,highinsurancecheck,rejectclaim,createquestionnaire,preparenotificationcontent,5.0,20,0,synthetic_data,xgboost
register,contacthospital,lowinsurancecheck,highinsurancecheck,rejectclaim,createquestionnaire,preparenotificationcontent,5.0,20,1,synthetic_data,xgboost
register,contacthospital,0,highinsurancecheck,rejectclaim,createquestionnaire,preparenotificationcontent,5.0,20,2,synthetic_data,xgboost
register,contacthospital,highmedicalhistory,highinsurancecheck,highmedicalhistory,createquestionnaire,preparenotificationcontent,5.0,20,3,synthetic_data,xgboost
register,contacthospital,highmedicalhistory,highinsurancecheck,lowinsurancecheck,createquestionnaire,preparenotificationcontent,5.0,20,4,synthetic_data,xgboost
register,contacthospital,highmedicalhistory,highinsurancecheck,rejectclaim,createquestionnaire,preparenotificationcontent,10.0,20,5,synthetic_data,xgboost
register,contacthospital,highmedicalhistory,highinsurancecheck,rejectclaim,preparenotificationcontent,sendnotificationbyphone,10.0,20,6,synthetic_data,xgboost
register,contacthospital,lowinsurancecheck,highinsurancecheck,rejectclaim,createquestionnaire,preparenotificationcontent,10.0,20,7,synthetic_data,xgboost
register,contacthospital,sendquestionnaire,highinsurancecheck,rejectclaim,createquestionnaire,preparenotificationcontent,10.0,20,8,synthetic_data,xgboost
register,contacthospital,0,highinsurancecheck,rejectclaim,createquestionnaire,preparenotificationcontent,10.0,20,9,synthetic_data,xgboost
