prefix_1,prefix_2,prefix_3,prefix_4,prefix_5,prefix_6,prefix_7,prefix_8,prefix_9,prefix_10,prefix_11,prefix_12,prefix_13,prefix_14,prefix_15,prefix_16,prefix_17,prefix_18,prefix_19,prefix_20,prefix_21,prefix_22,prefix_23,prefix_24,prefix_25,desired_cfs,idx,test_id,dataset,black_box
acreateapplication,wcompleteapplication,whandleleads,aconcept,wassesspotentialfraud,wassesspotentialfraud,wcompleteapplication,aaccepted,ocancelled,ocreateoffer,acancelled,wcompleteapplication,wcallafteroffers,ocreated,orefused,wcompleteapplication,wcallafteroffers,wcallafteroffers,acomplete,oaccepted,avalidating,ocancelled,aincomplete,wvalidateapplication,oaccepted,5.0,20,0,sampled_logs,xgboost
acreateapplication,asubmitted,wcompleteapplication,whandleleads,wcompleteapplication,wassesspotentialfraud,whandleleads,aaccepted,ocancelled,wshortenedcompletion,osentmailandonline,adenied,ocreateoffer,wcallafteroffers,ocreated,wassesspotentialfraud,acomplete,osentonlineonly,wcallincompletefiles,wvalidateapplication,ocancelled,avalidating,aincomplete,wvalidateapplication,oaccepted,5.0,20,1,sampled_logs,xgboost
acreateapplication,asubmitted,wcompleteapplication,whandleleads,wcompleteapplication,wassesspotentialfraud,wcompleteapplication,aaccepted,ocancelled,wcallafteroffers,acancelled,0,wcallafteroffers,orefused,orefused,wcallafteroffers,acomplete,adenied,oreturned,ocreated,avalidating,ocreated,adenied,ocancelled,oaccepted,5.0,20,2,sampled_logs,xgboost
acreateapplication,asubmitted,wcompleteapplication,whandleleads,wcompleteapplication,aconcept,whandleleads,aaccepted,ocancelled,wcompleteapplication,acancelled,adenied,wshortenedcompletion,aconcept,wcompleteapplication,wcompleteapplication,ocreated,wcallafteroffers,oreturned,oaccepted,wcallincompletefiles,acancelled,aincomplete,wvalidateapplication,oaccepted,5.0,20,3,sampled_logs,xgboost
acreateapplication,asubmitted,wcompleteapplication,aconcept,wcompleteapplication,wassesspotentialfraud,whandleleads,aaccepted,wshortenedcompletion,wcompleteapplication,wcompleteapplication,adenied,wcallafteroffers,orefused,wcompleteapplication,wcompleteapplication,acancelled,wcallafteroffers,wcallafteroffers,wshortenedcompletion,acancelled,wshortenedcompletion,wcallincompletefiles,wvalidateapplication,oaccepted,5.0,20,4,sampled_logs,xgboost
acreateapplication,wcompleteapplication,whandleleads,whandleleads,wcompleteapplication,aaccepted,wcompleteapplication,aaccepted,ocreateoffer,aaccepted,osentonlineonly,0,wcallafteroffers,aaccepted,acomplete,wcallafteroffers,wcallafteroffers,0,oreturned,oaccepted,wcallafteroffers,0,avalidating,adenied,oaccepted,10.0,20,5,sampled_logs,xgboost
acreateapplication,asubmitted,wcompleteapplication,whandleleads,aaccepted,aconcept,aaccepted,ocancelled,ocreated,wcallafteroffers,aconcept,wcompleteapplication,whandleleads,wcallafteroffers,acancelled,wcallafteroffers,wcallafteroffers,wcompleteapplication,osentonlineonly,ocreateoffer,wassesspotentialfraud,osentonlineonly,wvalidateapplication,apending,oaccepted,10.0,20,6,sampled_logs,xgboost
acreateapplication,asubmitted,whandleleads,whandleleads,wcompleteapplication,aconcept,aaccepted,aaccepted,ocreateoffer,wcompleteapplication,wcompleteapplication,whandleleads,wcompleteapplication,aconcept,wcompleteapplication,wshortenedcompletion,ocreated,avalidating,wcompleteapplication,acomplete,adenied,avalidating,apending,oreturned,ocancelled,10.0,20,7,sampled_logs,xgboost
acreateapplication,asubmitted,whandleleads,whandleleads,wcompleteapplication,wcompleteapplication,wcompleteapplication,wcompleteapplication,aaccepted,aconcept,wcompleteapplication,wcompleteapplication,aaccepted,osentmailandonline,wcompleteapplication,wshortenedcompletion,wcompleteapplication,wcallafteroffers,wcallafteroffers,wcompleteapplication,wcallafteroffers,wcallafteroffers,wvalidateapplication,acancelled,0,10.0,20,8,sampled_logs,xgboost
acreateapplication,asubmitted,whandleleads,whandleleads,aaccepted,wcompleteapplication,aaccepted,aaccepted,ocreated,acancelled,ocreateoffer,ocreated,wcompleteapplication,wcallafteroffers,orefused,wcallafteroffers,adenied,wcallafteroffers,oaccepted,acancelled,wcallafteroffers,orefused,wvalidateapplication,apending,avalidating,10.0,20,9,sampled_logs,xgboost
