prefix_1,prefix_2,prefix_3,prefix_4,prefix_5,prefix_6,prefix_7,prefix_8,prefix_9,prefix_10,prefix_11,prefix_12,prefix_13,prefix_14,prefix_15,prefix_16,prefix_17,prefix_18,prefix_19,prefix_20,prefix_21,prefix_22,prefix_23,prefix_24,prefix_25,desired_cfs,idx,test_id,dataset,black_box
acreateapplication,asubmitted,wcompleteapplication,aconcept,wcompleteapplication,aaccepted,wcompleteapplication,aconcept,aconcept,orefused,adenied,osentmailandonline,wcompleteapplication,wcallafteroffers,osentonlineonly,aaccepted,aaccepted,wcallafteroffers,0,wshortenedcompletion,oaccepted,aincomplete,orefused,wshortenedcompletion,wcallincompletefiles,5.0,20,0,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,whandleleads,whandleleads,wassesspotentialfraud,wcompleteapplication,wassesspotentialfraud,adenied,ocreateoffer,osentonlineonly,wshortenedcompletion,0,adenied,aaccepted,wcallafteroffers,0,wassesspotentialfraud,whandleleads,wcallafteroffers,osentonlineonly,ocreated,apending,oaccepted,wshortenedcompletion,apending,5.0,20,1,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,wcompleteapplication,aconcept,wassesspotentialfraud,aaccepted,whandleleads,osentmailandonline,aconcept,wcallafteroffers,0,adenied,wcompleteapplication,wcompleteapplication,adenied,acomplete,acomplete,wcallafteroffers,oaccepted,orefused,oaccepted,oreturned,wcallafteroffers,wshortenedcompletion,apending,5.0,20,2,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,wcompleteapplication,aconcept,whandleleads,aaccepted,wcompleteapplication,aaccepted,ocancelled,orefused,wassesspotentialfraud,whandleleads,wcompleteapplication,wcompleteapplication,adenied,ocancelled,acomplete,0,oaccepted,wshortenedcompletion,oaccepted,ocancelled,acomplete,wshortenedcompletion,apending,5.0,20,3,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,wcompleteapplication,aconcept,wcompleteapplication,aaccepted,whandleleads,aconcept,osentmailandonline,orefused,orefused,wassesspotentialfraud,osentonlineonly,aconcept,aconcept,aaccepted,avalidating,aaccepted,oaccepted,wvalidateapplication,oaccepted,wassesspotentialfraud,apending,wshortenedcompletion,wcallincompletefiles,5.0,20,4,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,whandleleads,whandleleads,wcompleteapplication,aconcept,whandleleads,wassesspotentialfraud,ocreateoffer,whandleleads,acancelled,aconcept,0,osentmailandonline,aaccepted,avalidating,adenied,osentonlineonly,adenied,aconcept,aincomplete,avalidating,wvalidateapplication,aconcept,0,10.0,20,5,BPIC17_O_ACCEPTED,xgboost
acreateapplication,wcompleteapplication,whandleleads,whandleleads,wassesspotentialfraud,aconcept,wshortenedcompletion,ocreateoffer,aaccepted,wassesspotentialfraud,osentonlineonly,osentonlineonly,ocancelled,orefused,wvalidateapplication,adenied,oreturned,0,wcallincompletefiles,acomplete,avalidating,wcallincompletefiles,aconcept,aincomplete,apending,10.0,20,6,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,wcompleteapplication,whandleleads,wassesspotentialfraud,aaccepted,wcompleteapplication,acancelled,wcompleteapplication,aaccepted,aaccepted,wcompleteapplication,0,osentonlineonly,wcallafteroffers,wcallafteroffers,adenied,acomplete,wshortenedcompletion,0,avalidating,wcompleteapplication,aaccepted,oaccepted,ocancelled,10.0,20,7,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,wcompleteapplication,whandleleads,wcompleteapplication,aconcept,whandleleads,adenied,aaccepted,whandleleads,acancelled,acancelled,ocreated,aaccepted,acancelled,wcallafteroffers,ocancelled,ocancelled,acomplete,aconcept,aincomplete,avalidating,avalidating,aconcept,osentmailandonline,10.0,20,8,BPIC17_O_ACCEPTED,xgboost
acreateapplication,asubmitted,wcompleteapplication,aconcept,wassesspotentialfraud,aaccepted,ocreated,acancelled,ocreated,aaccepted,aaccepted,wcompleteapplication,wcompleteapplication,acomplete,wcallafteroffers,wcallafteroffers,acomplete,ocancelled,wcallafteroffers,orefused,wassesspotentialfraud,wcompleteapplication,oaccepted,avalidating,apending,10.0,20,9,BPIC17_O_ACCEPTED,xgboost
