prefix_1,prefix_2,prefix_3,prefix_4,prefix_5,prefix_6,prefix_7,prefix_8,prefix_9,prefix_10,prefix_11,prefix_12,prefix_13,prefix_14,prefix_15,prefix_16,prefix_17,prefix_18,prefix_19,prefix_20,prefix_21,prefix_22,prefix_23,prefix_24,prefix_25,desired_cfs,idx,test_id,dataset,black_box
acreateapplication,asubmitted,whandleleads,whandleleads,wcompleteapplication,aaccepted,ocreated,aconcept,ocreateoffer,aconcept,wcallafteroffers,wcompleteapplication,wcallafteroffers,wvalidateapplication,wcallafteroffers,wcallafteroffers,acancelled,wassesspotentialfraud,wcallafteroffers,aincomplete,avalidating,orefused,wcompleteapplication,adenied,ocancelled,5.0,20,0,sampled_logs,xgboost
acreateapplication,asubmitted,whandleleads,whandleleads,wcompleteapplication,wcompleteapplication,wcompleteapplication,aconcept,aaccepted,ocreateoffer,ocreated,wcompleteapplication,ocancelled,ocancelled,wvalidateapplication,wassesspotentialfraud,0,wcompleteapplication,wcallafteroffers,wcompleteapplication,avalidating,orefused,adenied,ocancelled,ocancelled,5.0,20,1,sampled_logs,xgboost
acreateapplication,asubmitted,wcompleteapplication,whandleleads,wcompleteapplication,ocreateoffer,aaccepted,aconcept,aconcept,aaccepted,wcallafteroffers,osentonlineonly,wcallafteroffers,wvalidateapplication,aaccepted,wassesspotentialfraud,osentmailandonline,adenied,avalidating,wcallafteroffers,wcallafteroffers,ocancelled,wvalidateapplication,wvalidateapplication,avalidating,5.0,20,2,sampled_logs,xgboost
acreateapplication,wcompleteapplication,whandleleads,whandleleads,wcompleteapplication,wcompleteapplication,ocreateoffer,osentonlineonly,ocancelled,osentmailandonline,wcompleteapplication,wcallafteroffers,wcallafteroffers,adenied,aaccepted,ocancelled,0,ocancelled,osentmailandonline,oreturned,0,ocancelled,0,wcallafteroffers,avalidating,5.0,20,3,sampled_logs,xgboost
acreateapplication,asubmitted,wcompleteapplication,whandleleads,whandleleads,wcompleteapplication,wcompleteapplication,aaccepted,aconcept,aaccepted,ocreated,wshortenedcompletion,osentmailandonline,osentonlineonly,aaccepted,avalidating,avalidating,wcallafteroffers,avalidating,wcompleteapplication,wcallafteroffers,wcallafteroffers,oreturned,acancelled,oaccepted,5.0,20,4,sampled_logs,xgboost
acreateapplication,asubmitted,whandleleads,whandleleads,wcompleteapplication,aaccepted,wcompleteapplication,aaccepted,wshortenedcompletion,aconcept,wcompleteapplication,wcompleteapplication,wcallafteroffers,wcallafteroffers,aaccepted,wcallafteroffers,ocreated,wcallafteroffers,wcallafteroffers,wcallafteroffers,oaccepted,wcallafteroffers,wcallafteroffers,wcallafteroffers,wcallafteroffers,10.0,20,5,sampled_logs,xgboost
acreateapplication,wcompleteapplication,whandleleads,whandleleads,aaccepted,aconcept,wshortenedcompletion,ocreateoffer,wassesspotentialfraud,ocancelled,osentonlineonly,wcallafteroffers,wcallafteroffers,ocreateoffer,wshortenedcompletion,wcallafteroffers,ocreated,oreturned,acancelled,wcallincompletefiles,apending,wassesspotentialfraud,ocreated,wvalidateapplication,oaccepted,10.0,20,6,sampled_logs,xgboost
acreateapplication,asubmitted,wcompleteapplication,aconcept,wcompleteapplication,aconcept,aaccepted,aaccepted,wassesspotentialfraud,ocreated,ocreateoffer,ocancelled,ocreateoffer,wcallafteroffers,acomplete,wcompleteapplication,wcallafteroffers,0,wcallafteroffers,osentmailandonline,osentmailandonline,acomplete,oaccepted,wcallincompletefiles,oaccepted,10.0,20,7,sampled_logs,xgboost
acreateapplication,asubmitted,whandleleads,whandleleads,whandleleads,wcompleteapplication,ocreateoffer,aaccepted,whandleleads,wassesspotentialfraud,osentmailandonline,ocreateoffer,osentonlineonly,wcallafteroffers,acomplete,ocancelled,wcallafteroffers,wshortenedcompletion,wcallafteroffers,wcallincompletefiles,osentmailandonline,acomplete,oaccepted,wcallincompletefiles,oaccepted,10.0,20,8,sampled_logs,xgboost
acreateapplication,asubmitted,wcompleteapplication,aconcept,wcompleteapplication,aaccepted,aaccepted,whandleleads,wassesspotentialfraud,wassesspotentialfraud,wassesspotentialfraud,whandleleads,wcallafteroffers,wcompleteapplication,acancelled,wcallafteroffers,wcallafteroffers,aaccepted,wcallafteroffers,avalidating,acomplete,ocreateoffer,avalidating,apending,oaccepted,10.0,20,9,sampled_logs,xgboost
