prefix_1,prefix_2,prefix_3,prefix_4,prefix_5,prefix_6,prefix_7,prefix_8,prefix_9,prefix_10,prefix_11,prefix_12,prefix_13,prefix_14,prefix_15,prefix_16,prefix_17,prefix_18,prefix_19,prefix_20,prefix_21,prefix_22,prefix_23,prefix_24,prefix_25,prefix_26,prefix_27,prefix_28,prefix_29,prefix_30,desired_cfs,idx,test_id,dataset,black_box
acreateapplication,asubmitted,wcompleteapplication,aconcept,whandleleads,aconcept,ocreateoffer,ocreateoffer,whandleleads,wcallafteroffers,wcompleteapplication,whandleleads,ocancelled,osentonlineonly,ocreateoffer,wcallafteroffers,oreturned,oreturned,osentmailandonline,wvalidateapplication,adenied,aaccepted,apending,oreturned,oaccepted,avalidating,avalidating,wassesspotentialfraud,orefused,wassesspotentialfraud,5.0,18,0,sampled_logs,xgboost
acreateapplication,asubmitted,whandleleads,whandleleads,wassesspotentialfraud,wassesspotentialfraud,ocreated,osentmailandonline,wassesspotentialfraud,wcallafteroffers,ocreateoffer,wcallafteroffers,wcallafteroffers,acancelled,wcompleteapplication,wcompleteapplication,wshortenedcompletion,ocancelled,orefused,wcallafteroffers,orefused,orefused,aaccepted,ocreated,oaccepted,oaccepted,wcompleteapplication,avalidating,wassesspotentialfraud,adenied,5.0,18,1,sampled_logs,xgboost
acreateapplication,wcompleteapplication,wcompleteapplication,whandleleads,wcompleteapplication,aaccepted,ocreateoffer,ocreateoffer,ocancelled,ocancelled,osentonlineonly,wcompleteapplication,adenied,osentmailandonline,osentonlineonly,osentonlineonly,avalidating,ocancelled,wcallafteroffers,adenied,wcallafteroffers,wshortenedcompletion,aincomplete,wvalidateapplication,ocreated,wcompleteapplication,avalidating,avalidating,aincomplete,adenied,5.0,18,2,sampled_logs,xgboost
acreateapplication,wcompleteapplication,whandleleads,whandleleads,wcompleteapplication,aconcept,ocreated,aaccepted,ocreateoffer,ocreateoffer,whandleleads,acomplete,ocreateoffer,wvalidateapplication,wcompleteapplication,acomplete,wcompleteapplication,wcallafteroffers,wcallafteroffers,aincomplete,ocancelled,apending,wcallafteroffers,wcallafteroffers,wcallafteroffers,oreturned,apending,apending,ocreated,wvalidateapplication,10.0,18,3,sampled_logs,xgboost
acreateapplication,asubmitted,wcompleteapplication,whandleleads,wassesspotentialfraud,aconcept,aaccepted,wshortenedcompletion,aaccepted,wcallafteroffers,whandleleads,ocancelled,wcallafteroffers,ocancelled,osentonlineonly,wcallafteroffers,aaccepted,ocancelled,ocreateoffer,wcallafteroffers,oaccepted,oaccepted,ocreated,wcallafteroffers,oaccepted,wvalidateapplication,adenied,aincomplete,wcallafteroffers,oaccepted,10.0,18,4,sampled_logs,xgboost
acreateapplication,asubmitted,whandleleads,whandleleads,wassesspotentialfraud,wassesspotentialfraud,ocreated,aaccepted,aaccepted,ocreateoffer,aaccepted,aaccepted,wcompleteapplication,wvalidateapplication,acomplete,ocreateoffer,wcompleteapplication,osentonlineonly,osentmailandonline,0,aincomplete,apending,avalidating,wcompleteapplication,wcallafteroffers,apending,avalidating,aincomplete,0,acomplete,10.0,18,5,sampled_logs,xgboost
acreateapplication,asubmitted,whandleleads,whandleleads,wcompleteapplication,aaccepted,ocreateoffer,ocreateoffer,ocancelled,ocreated,wcallafteroffers,ocreateoffer,ocreated,ocreateoffer,acancelled,osentmailandonline,wcompleteapplication,oreturned,wcallafteroffers,orefused,aconcept,wcallafteroffers,aaccepted,ocancelled,aaccepted,osentmailandonline,aincomplete,oaccepted,acomplete,wvalidateapplication,10.0,18,6,sampled_logs,xgboost
acreateapplication,asubmitted,whandleleads,whandleleads,whandleleads,aaccepted,wshortenedcompletion,osentonlineonly,aaccepted,ocreated,whandleleads,wshortenedcompletion,wcallafteroffers,orefused,ocreateoffer,osentonlineonly,acomplete,aaccepted,wvalidateapplication,0,wcallincompletefiles,ocancelled,apending,avalidating,ocreated,wcompleteapplication,aincomplete,oaccepted,ocancelled,acancelled,10.0,18,7,sampled_logs,xgboost
acreateapplication,asubmitted,wcompleteapplication,whandleleads,wcompleteapplication,aconcept,wcompleteapplication,aconcept,ocreateoffer,ocreated,wcallafteroffers,wshortenedcompletion,wcallafteroffers,wcallafteroffers,acomplete,wcallafteroffers,wcallafteroffers,oreturned,ocreateoffer,ocreated,apending,ocreateoffer,acancelled,acancelled,orefused,avalidating,wcallafteroffers,wvalidateapplication,orefused,apending,15.0,18,8,sampled_logs,xgboost
acreateapplication,asubmitted,whandleleads,whandleleads,wcompleteapplication,whandleleads,wcompleteapplication,ocreateoffer,aconcept,osentmailandonline,wcallafteroffers,acomplete,osentmailandonline,whandleleads,wshortenedcompletion,wshortenedcompletion,wcallafteroffers,wcallafteroffers,osentonlineonly,aincomplete,aconcept,whandleleads,oaccepted,0,oaccepted,orefused,orefused,wcallincompletefiles,avalidating,oaccepted,15.0,18,9,sampled_logs,xgboost
