prefix_1,prefix_2,prefix_3,prefix_4,prefix_5,prefix_6,prefix_7,prefix_8,prefix_9,prefix_10,prefix_11,prefix_12,prefix_13,desired_cfs,idx,test_id,dataset,black_box
register,createquestionnaire,highinsurancecheck,contacthospital,rejectclaim,acceptclaim,acceptclaim,receivequestionnaireresponse,archive,sendquestionnaire,sendnotificationbypost,0,0,5.0,20,0,synthetic_data,xgboost
register,createquestionnaire,highinsurancecheck,contacthospital,rejectclaim,acceptclaim,acceptclaim,sendnotificationbypost,sendnotificationbypost,archive,receivequestionnaireresponse,0,0,5.0,20,1,synthetic_data,xgboost
register,createquestionnaire,highinsurancecheck,contacthospital,rejectclaim,acceptclaim,acceptclaim,sendquestionnaire,sendnotificationbypost,archive,0,0,0,5.0,20,2,synthetic_data,xgboost
register,highmedicalhistory,highinsurancecheck,receivequestionnaireresponse,lowinsurancecheck,createquestionnaire,receivequestionnaireresponse,skipquestionnaire,sendquestionnaire,sendnotificationbyemail,0,sendnotificationbypost,0,5.0,20,3,synthetic_data,xgboost
register,highmedicalhistory,highinsurancecheck,receivequestionnaireresponse,highmedicalhistory,createquestionnaire,sendnotificationbyphone,skipquestionnaire,receivequestionnaireresponse,sendnotificationbypost,archive,sendnotificationbypost,0,5.0,20,4,synthetic_data,xgboost
register,createquestionnaire,highinsurancecheck,highinsurancecheck,createquestionnaire,preparenotificationcontent,sendquestionnaire,receivequestionnaireresponse,sendnotificationbyphone,sendnotificationbypost,0,archive,0,10.0,20,5,synthetic_data,xgboost
register,createquestionnaire,highinsurancecheck,highmedicalhistory,createquestionnaire,preparenotificationcontent,sendquestionnaire,skipquestionnaire,sendnotificationbyphone,sendnotificationbypost,0,archive,0,10.0,20,6,synthetic_data,xgboost
register,createquestionnaire,highinsurancecheck,highinsurancecheck,rejectclaim,preparenotificationcontent,acceptclaim,receivequestionnaireresponse,sendnotificationbyphone,sendnotificationbypost,sendquestionnaire,archive,archive,10.0,20,7,synthetic_data,xgboost
register,createquestionnaire,highinsurancecheck,highinsurancecheck,rejectclaim,createquestionnaire,acceptclaim,skipquestionnaire,archive,sendnotificationbypost,0,sendnotificationbyphone,0,10.0,20,8,synthetic_data,xgboost
register,highinsurancecheck,lowmedicalhistory,lowmedicalhistory,createquestionnaire,createquestionnaire,sendquestionnaire,acceptclaim,sendnotificationbyemail,sendnotificationbypost,0,archive,0,10.0,20,9,synthetic_data,xgboost
register,createquestionnaire,createquestionnaire,contacthospital,rejectclaim,createquestionnaire,sendnotificationbyemail,sendnotificationbyphone,createquestionnaire,createquestionnaire,receivequestionnaireresponse,archive,0,15.0,20,10,synthetic_data,xgboost
register,createquestionnaire,createquestionnaire,contacthospital,rejectclaim,createquestionnaire,sendnotificationbyemail,sendnotificationbyphone,sendnotificationbypost,sendnotificationbypost,sendnotificationbyphone,archive,0,15.0,20,11,synthetic_data,xgboost
register,createquestionnaire,highinsurancecheck,createquestionnaire,rejectclaim,createquestionnaire,receivequestionnaireresponse,sendnotificationbypost,sendquestionnaire,receivequestionnaireresponse,receivequestionnaireresponse,archive,0,15.0,20,12,synthetic_data,xgboost
register,createquestionnaire,highinsurancecheck,lowinsurancecheck,highinsurancecheck,createquestionnaire,sendquestionnaire,sendquestionnaire,preparenotificationcontent,createquestionnaire,receivequestionnaireresponse,sendnotificationbyphone,0,15.0,20,13,synthetic_data,xgboost
register,createquestionnaire,lowinsurancecheck,createquestionnaire,rejectclaim,createquestionnaire,receivequestionnaireresponse,sendnotificationbypost,createquestionnaire,sendnotificationbyemail,sendnotificationbypost,archive,0,15.0,20,14,synthetic_data,xgboost
register,highmedicalhistory,createquestionnaire,highinsurancecheck,rejectclaim,createquestionnaire,preparenotificationcontent,receivequestionnaireresponse,preparenotificationcontent,sendnotificationbypost,sendnotificationbypost,receivequestionnaireresponse,archive,20.0,20,15,synthetic_data,xgboost
register,createquestionnaire,createquestionnaire,contacthospital,rejectclaim,createquestionnaire,createquestionnaire,sendquestionnaire,sendnotificationbyphone,sendnotificationbypost,archive,archive,archive,20.0,20,16,synthetic_data,xgboost
register,lowinsurancecheck,highinsurancecheck,highinsurancecheck,rejectclaim,createquestionnaire,receivequestionnaireresponse,acceptclaim,skipquestionnaire,receivequestionnaireresponse,sendnotificationbypost,archive,0,20.0,20,17,synthetic_data,xgboost
register,createquestionnaire,createquestionnaire,contacthospital,rejectclaim,createquestionnaire,preparenotificationcontent,sendquestionnaire,sendnotificationbyemail,skipquestionnaire,receivequestionnaireresponse,archive,archive,20.0,20,18,synthetic_data,xgboost
register,createquestionnaire,createquestionnaire,acceptclaim,rejectclaim,createquestionnaire,preparenotificationcontent,receivequestionnaireresponse,sendnotificationbyemail,sendnotificationbyphone,sendnotificationbypost,archive,0,20.0,20,19,synthetic_data,xgboost
register,lowmedicalhistory,lowinsurancecheck,acceptclaim,preparenotificationcontent,createquestionnaire,sendquestionnaire,skipquestionnaire,archive,0,0,0,0,5.0,21,0,synthetic_data,xgboost
register,lowinsurancecheck,lowmedicalhistory,acceptclaim,createquestionnaire,preparenotificationcontent,sendquestionnaire,skipquestionnaire,archive,0,0,0,0,5.0,21,1,synthetic_data,xgboost
register,createquestionnaire,createquestionnaire,rejectclaim,rejectclaim,rejectclaim,sendquestionnaire,receivequestionnaireresponse,createquestionnaire,sendnotificationbyphone,skipquestionnaire,archive,0,5.0,21,2,synthetic_data,xgboost
register,lowinsurancecheck,lowmedicalhistory,acceptclaim,preparenotificationcontent,createquestionnaire,sendquestionnaire,skipquestionnaire,archive,0,0,0,0,5.0,21,3,synthetic_data,xgboost
register,createquestionnaire,createquestionnaire,acceptclaim,highmedicalhistory,contacthospital,sendquestionnaire,sendquestionnaire,sendnotificationbyemail,sendnotificationbypost,0,archive,0,5.0,21,4,synthetic_data,xgboost
register,lowmedicalhistory,lowinsurancecheck,acceptclaim,createquestionnaire,preparenotificationcontent,sendquestionnaire,skipquestionnaire,archive,0,0,0,0,10.0,21,5,synthetic_data,xgboost
register,lowmedicalhistory,lowinsurancecheck,acceptclaim,preparenotificationcontent,createquestionnaire,sendquestionnaire,skipquestionnaire,archive,0,0,0,0,10.0,21,6,synthetic_data,xgboost
register,createquestionnaire,highinsurancecheck,highinsurancecheck,createquestionnaire,preparenotificationcontent,sendquestionnaire,receivequestionnaireresponse,sendnotificationbyphone,sendnotificationbypost,0,archive,0,10.0,21,7,synthetic_data,xgboost
register,createquestionnaire,lowinsurancecheck,highmedicalhistory,rejectclaim,preparenotificationcontent,sendquestionnaire,receivequestionnaireresponse,archive,0,sendnotificationbypost,0,archive,10.0,21,8,synthetic_data,xgboost
register,createquestionnaire,highinsurancecheck,highmedicalhistory,createquestionnaire,acceptclaim,sendquestionnaire,receivequestionnaireresponse,archive,sendnotificationbypost,0,archive,0,10.0,21,9,synthetic_data,xgboost
register,lowmedicalhistory,lowinsurancecheck,acceptclaim,preparenotificationcontent,createquestionnaire,sendquestionnaire,receivequestionnaireresponse,archive,0,0,0,0,15.0,21,10,synthetic_data,xgboost
register,lowmedicalhistory,lowinsurancecheck,acceptclaim,createquestionnaire,preparenotificationcontent,sendquestionnaire,skipquestionnaire,archive,0,0,0,0,15.0,21,11,synthetic_data,xgboost
register,createquestionnaire,createquestionnaire,acceptclaim,createquestionnaire,preparenotificationcontent,sendquestionnaire,receivequestionnaireresponse,preparenotificationcontent,sendnotificationbyemail,0,archive,0,15.0,21,12,synthetic_data,xgboost
register,lowmedicalhistory,createquestionnaire,acceptclaim,acceptclaim,preparenotificationcontent,sendquestionnaire,receivequestionnaireresponse,preparenotificationcontent,sendnotificationbyemail,0,archive,0,15.0,21,13,synthetic_data,xgboost
register,lowmedicalhistory,lowinsurancecheck,acceptclaim,preparenotificationcontent,createquestionnaire,sendquestionnaire,skipquestionnaire,archive,0,0,0,0,15.0,21,14,synthetic_data,xgboost
register,lowmedicalhistory,lowinsurancecheck,acceptclaim,preparenotificationcontent,createquestionnaire,sendquestionnaire,receivequestionnaireresponse,archive,0,0,0,0,20.0,21,15,synthetic_data,xgboost
register,lowmedicalhistory,lowinsurancecheck,acceptclaim,createquestionnaire,preparenotificationcontent,sendquestionnaire,skipquestionnaire,archive,0,0,0,0,20.0,21,16,synthetic_data,xgboost
register,highmedicalhistory,createquestionnaire,acceptclaim,createquestionnaire,highmedicalhistory,sendquestionnaire,receivequestionnaireresponse,preparenotificationcontent,sendnotificationbyemail,0,0,0,20.0,21,17,synthetic_data,xgboost
register,lowmedicalhistory,lowinsurancecheck,acceptclaim,preparenotificationcontent,createquestionnaire,sendquestionnaire,skipquestionnaire,archive,0,0,0,0,20.0,21,18,synthetic_data,xgboost
register,lowinsurancecheck,lowmedicalhistory,acceptclaim,preparenotificationcontent,createquestionnaire,sendquestionnaire,receivequestionnaireresponse,archive,0,0,0,0,20.0,21,19,synthetic_data,xgboost
register,highmedicalhistory,highinsurancecheck,contacthospital,rejectclaim,createquestionnaire,sendnotificationbyemail,sendnotificationbyemail,sendnotificationbyemail,sendnotificationbyemail,0,archive,0,5.0,20,0,synthetic_data,xgboost
register,highmedicalhistory,lowinsurancecheck,contacthospital,rejectclaim,createquestionnaire,sendnotificationbyphone,sendquestionnaire,sendnotificationbyphone,sendnotificationbypost,receivequestionnaireresponse,sendnotificationbyemail,0,5.0,20,1,synthetic_data,xgboost
register,lowinsurancecheck,highinsurancecheck,contacthospital,rejectclaim,createquestionnaire,0,sendquestionnaire,sendnotificationbyphone,sendnotificationbypost,receivequestionnaireresponse,sendnotificationbypost,0,5.0,20,2,synthetic_data,xgboost
register,highmedicalhistory,lowinsurancecheck,contacthospital,rejectclaim,createquestionnaire,receivequestionnaireresponse,sendquestionnaire,preparenotificationcontent,sendnotificationbypost,receivequestionnaireresponse,sendnotificationbyemail,0,5.0,20,3,synthetic_data,xgboost
register,highmedicalhistory,highinsurancecheck,contacthospital,rejectclaim,createquestionnaire,sendnotificationbyemail,sendnotificationbyemail,receivequestionnaireresponse,archive,0,archive,0,5.0,20,4,synthetic_data,xgboost
register,highmedicalhistory,highinsurancecheck,contacthospital,rejectclaim,createquestionnaire,sendnotificationbyemail,sendquestionnaire,preparenotificationcontent,0,receivequestionnaireresponse,0,0,10.0,20,5,synthetic_data,xgboost
register,highmedicalhistory,lowmedicalhistory,contacthospital,rejectclaim,createquestionnaire,preparenotificationcontent,receivequestionnaireresponse,receivequestionnaireresponse,receivequestionnaireresponse,sendnotificationbypost,archive,0,10.0,20,6,synthetic_data,xgboost
