prefix_1,prefix_2,prefix_3,prefix_4,prefix_5,prefix_6,prefix_7,desired_cfs,idx,test_id,dataset,black_box
register,highmedicalhistory,highinsurancecheck,receivequestionnaireresponse,highinsurancecheck,createquestionnaire,sendnotificationbyphone,5.0,20,0,synthetic_data,xgboost
register,createquestionnaire,highinsurancecheck,highinsurancecheck,rejectclaim,highmedicalhistory,preparenotificationcontent,5.0,20,1,synthetic_data,xgboost
register,highmedicalhistory,highinsurancecheck,createquestionnaire,highmedicalhistory,sendnotificationbyemail,sendquestionnaire,5.0,20,2,synthetic_data,xgboost
register,lowinsurancecheck,highinsurancecheck,receivequestionnaireresponse,sendquestionnaire,createquestionnaire,rejectclaim,5.0,20,3,synthetic_data,xgboost
register,highmedicalhistory,lowmedicalhistory,highinsurancecheck,createquestionnaire,createquestionnaire,sendnotificationbyphone,5.0,20,4,synthetic_data,xgboost
register,highmedicalhistory,highinsurancecheck,contacthospital,rejectclaim,createquestionnaire,preparenotificationcontent,10.0,20,5,synthetic_data,xgboost
register,highmedicalhistory,highmedicalhistory,contacthospital,rejectclaim,createquestionnaire,sendnotificationbyemail,10.0,20,6,synthetic_data,xgboost
register,highinsurancecheck,highinsurancecheck,contacthospital,rejectclaim,createquestionnaire,sendnotificationbyemail,10.0,20,7,synthetic_data,xgboost
register,highinsurancecheck,highinsurancecheck,rejectclaim,rejectclaim,createquestionnaire,preparenotificationcontent,10.0,20,8,synthetic_data,xgboost
register,createquestionnaire,highinsurancecheck,contacthospital,rejectclaim,highmedicalhistory,preparenotificationcontent,10.0,20,9,synthetic_data,xgboost
register,highmedicalhistory,highinsurancecheck,contacthospital,rejectclaim,createquestionnaire,preparenotificationcontent,15.0,20,10,synthetic_data,xgboost
register,createquestionnaire,highinsurancecheck,contacthospital,rejectclaim,createquestionnaire,preparenotificationcontent,15.0,20,11,synthetic_data,xgboost
register,lowinsurancecheck,highinsurancecheck,contacthospital,rejectclaim,createquestionnaire,preparenotificationcontent,15.0,20,12,synthetic_data,xgboost
register,createquestionnaire,highinsurancecheck,contacthospital,rejectclaim,createquestionnaire,acceptclaim,15.0,20,13,synthetic_data,xgboost
register,highinsurancecheck,highinsurancecheck,contacthospital,rejectclaim,createquestionnaire,rejectclaim,15.0,20,14,synthetic_data,xgboost
register,highmedicalhistory,highinsurancecheck,contacthospital,rejectclaim,createquestionnaire,preparenotificationcontent,20.0,20,15,synthetic_data,xgboost
register,highmedicalhistory,highinsurancecheck,contacthospital,rejectclaim,preparenotificationcontent,createquestionnaire,20.0,20,16,synthetic_data,xgboost
